Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date
110136;Templeton Fixed Horizon Fund – Series XI – Plan C (367 days plan) - Growth;10.9813;10.7068;10.9813;06-Aug-2009
110549;Templeton Fixed Horizon Fund – Series XI – Plan D (367 days plan) - Dividend;10.7892;10.5195;10.7892;06-Aug-2009
110550;Templeton Fixed Horizon Fund – Series XI – Plan D (367 days plan) - Growth;10.7892;10.5195;10.7892;06-Aug-2009
111774;HDFC FMP 13M March 2009 (1) - RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.076;9.8745;0;06-Aug-2009
111772;HDFC FMP 13M March 2009 (1) - RETAIL PLAN DIVIDEND OPTION;10.2855;10.0798;0;06-Aug-2009
111769;HDFC FMP 13M March 2009 (1) - RETAIL PLAN GROWTH OPTION;10.2855;10.0798;0;06-Aug-2009
111770;HDFC FMP 13M March 2009 (1) - WHOLESALE PLAN GROWTH OPTION;10.2855;10.0798;0;06-Aug-2009
111765;HDFC FMP 14M February 2009 (1) - RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.08;9.8784;0;06-Aug-2009
111764;HDFC FMP 14M February 2009 (1) - RETAIL PLAN DIVIDEND OPTION;10.2814;10.0758;0;06-Aug-2009
111763;HDFC FMP 14M February 2009 (1) - RETAIL PLAN GROWTH OPTION;10.2814;10.0758;0;06-Aug-2009
111767;HDFC FMP 14M February 2009 (1) - WHOLESALE PLAN DIVIDEND OPTION;10.2814;10.0758;0;06-Aug-2009
111766;HDFC FMP 14M February 2009 (1) - WHOLESALE PLAN GROWTH OPTION;10.2814;10.0758;0;06-Aug-2009
111499;HDFC FMP 16M December 2008 (1) - RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.3702;10.1628;0;06-Aug-2009
111495;HDFC FMP 16M December 2008 (1) - RETAIL PLAN DIVIDEND OPTION;10.778;10.5624;0;06-Aug-2009
111498;HDFC FMP 16M December 2008 (1) - RETAIL PLAN GROWTH OPTION;10.778;10.5624;0;06-Aug-2009
111496;HDFC FMP 16M December 2008 (1) - WHOLESALE PLAN GROWTH OPTION;10.8206;10.6042;0;06-Aug-2009
111324;HDFC FMP 17M November 2008 (1) - RETAIL PLAN - GROWTH OPTION;10.917;10.6987;0;06-Aug-2009
111325;HDFC FMP 17M November 2008 (1) - RETAIL PLAN - NORMAL DIVIDEND OPTION;10.917;10.6987;0;06-Aug-2009
111326;HDFC FMP 17M November 2008 (1) - RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.4107;10.2025;0;06-Aug-2009
111322;HDFC FMP 17M November 2008 (1) - WHOLESALE PLAN - GROWTH OPTION;10.9638;10.7445;0;06-Aug-2009
111327;HDFC FMP 17M November 2008 (1) - WHOLESALE PLAN - NORMAL DIVIDEND OPTION;10.9638;10.7445;0;06-Aug-2009
111323;HDFC FMP 17M November 2008 (1) - WHOLESALE PLAN - QUARTERLY DIVIDEND OPTION;10.4181;10.2097;0;06-Aug-2009
108240;HDFC FMP 18M APRIL 2008  RETAIL PLAN - GROWTH OPTION;11.2306;11.005988;0;06-Aug-2009
108241;HDFC FMP 18M APRIL 2008  RETAIL PLAN - NORMAL DIVIDEND OPTION;11.2306;11.005988;0;06-Aug-2009
108242;HDFC FMP 18M APRIL 2008  RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.1603;9.9571;0;06-Aug-2009
108237;HDFC FMP 18M APRIL 2008  WHOLESALE PLAN - GROWTH OPTION;11.3165;11.0902;0;06-Aug-2009
108238;HDFC FMP 18M APRIL 2008  WHOLESALE PLAN - NORMAL DIVIDEND OPTION;11.3165;11.0902;0;06-Aug-2009
108312;HDFC FMP 18M APRIL 2008 (2) RETAIL PLAN - GROWTH OPTION;11.1863;10.9626;0;06-Aug-2009
108313;HDFC FMP 18M APRIL 2008 (2) RETAIL PLAN - NORMAL DIVIDEND OPTION;11.1863;10.9626;0;06-Aug-2009
108316;HDFC FMP 18M APRIL 2008 (2) RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.7257;10.5112;0;06-Aug-2009
108314;HDFC FMP 18M APRIL 2008 (2) WHOLESALE PLAN - GROWTH OPTION;11.2744;11.0489;0;06-Aug-2009
108315;HDFC FMP 18M APRIL 2008 (2) WHOLESALE PLAN - QUARTERLY DIVIDEND OPTION;10.7603;10.5451;0;06-Aug-2009
107515;HDFC FMP 18M JANUARY 2008 RETAIL PLAN - GROWTH OPTION;11.3668;11.1395;0;06-Aug-2009
107519;HDFC FMP 18M JANUARY 2008 RETAIL PLAN - NORMAL DIVIDEND OPTION;11.3668;11.1395;0;06-Aug-2009
107516;HDFC FMP 18M JANUARY 2008 RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.7888;10.573;0;06-Aug-2009
107514;HDFC FMP 18M JANUARY 2008 WHOLESALE PLAN - GROWTH OPTION;11.395;11.1671;0;06-Aug-2009
110416;HDFC FMP 18M October 2008 (1) - RETAIL PLAN - GROWTH OPTION;11.4523;11.2233;0;06-Aug-2009
110415;HDFC FMP 18M October 2008 (1) - RETAIL PLAN - NORMAL DIVIDEND OPTION;11.4523;11.2233;0;06-Aug-2009
110417;HDFC FMP 18M October 2008 (1) - RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.7838;10.5681;0;06-Aug-2009
110418;HDFC FMP 18M October 2008 (1) - WHOLESALE PLAN - GROWTH OPTION;11.538;11.3072;0;06-Aug-2009
110413;HDFC FMP 18M October 2008 (1) - WHOLESALE PLAN - NORMAL DIVIDEND OPTION;11.538;11.3072;0;06-Aug-2009
110414;HDFC FMP 18M October 2008 (1) - WHOLESALE PLAN - QUARTERLY DIVIDEND OPTION;10.7983;10.5823;0;06-Aug-2009
110559;HDFC FMP 18M October 2008 (2) - RETAIL PLAN - GROWTH OPTION;11.1273;10.9048;0;06-Aug-2009
110561;HDFC FMP 18M October 2008 (2) - RETAIL PLAN - NORMAL DIVIDEND OPTION;11.1273;10.9048;0;06-Aug-2009
110562;HDFC FMP 18M October 2008 (2) - RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.9598;10.7406;0;06-Aug-2009
110557;HDFC FMP 18M October 2008 (2) - WHOLESALE PLAN - GROWTH OPTION;11.1273;10.9048;0;06-Aug-2009
110560;HDFC FMP 18M October 2008 (2) - WHOLESALE PLAN - NORMAL DIVIDEND OPTION;11.1273;10.9048;0;06-Aug-2009
109595;HDFC FMP 20M AUGUST 2008  - RETAIL PLAN - GROWTH OPTION;11.2207;10.9963;0;06-Aug-2009
109591;HDFC FMP 20M AUGUST 2008  - RETAIL PLAN - NORMAL DIVIDEND OPTION;11.2207;10.9963;0;06-Aug-2009
109594;HDFC FMP 20M AUGUST 2008  - RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.3875;10.1798;0;06-Aug-2009
109593;HDFC FMP 20M AUGUST 2008  - WHOLESALE PLAN - GROWTH OPTION;11.313;11.0867;0;06-Aug-2009
110062;HDFC FMP 22M September 2008  - RETAIL PLAN - GROWTH OPTION;11.1363;10.9136;0;06-Aug-2009
110059;HDFC FMP 22M September 2008  - RETAIL PLAN - NORMAL DIVIDEND OPTION;11.1363;10.9136;0;06-Aug-2009
110060;HDFC FMP 22M September 2008  - RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.4209;10.2125;0;06-Aug-2009
110061;HDFC FMP 22M September 2008  - WHOLESALE PLAN - GROWTH OPTION;11.2224;10.998;0;06-Aug-2009
110057;HDFC FMP 22M September 2008  - WHOLESALE PLAN - NORMAL DIVIDEND OPTION;11.2224;10.998;0;06-Aug-2009
111893;HDFC FMP 367D March 2009 (1) - RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.081;9.8794;0;06-Aug-2009
111840;HDFC FMP 367D March 2009 (1) - RETAIL PLAN DIVIDEND OPTION;10.2658;10.0605;0;06-Aug-2009
111839;HDFC FMP 367D March 2009 (1) - RETAIL PLAN GROWTH OPTION;10.2658;10.0605;0;06-Aug-2009
111842;HDFC FMP 367D March 2009 (1) - WHOLESALE PLAN GROWTH OPTION;10.2658;10.0605;0;06-Aug-2009
106029;HDFC FMP 36M JUNE 2007 - RETAIL PLAN GROWTH OPTION;12.2879;12.1036;0;06-Aug-2009
106033;HDFC FMP 36M JUNE 2007 - RETAIL PLAN NORMAL DIVIDEND OPTION;12.2879;12.1036;0;06-Aug-2009
106030;HDFC FMP 36M JUNE 2007 - RETAIL PLAN QUATERLY DIVIDEND OPTION;10.6433;10.4837;0;06-Aug-2009
106034;HDFC FMP 36M JUNE 2007 - WHOLESALE PLAN GROWTH OPTION;12.3907;12.2048;0;06-Aug-2009
106032;HDFC FMP 36M JUNE 2007 - WHOLESALE PLAN QUATERLY DIVIDEND OPTION;10.7665;10.605;0;06-Aug-2009
109582;HDFC FMP 370D AUGUST 2008 (1) - RETAIL PLAN - GROWTH OPTION;10.9888;10.824;0;06-Aug-2009
109583;HDFC FMP 370D AUGUST 2008 (1) - RETAIL PLAN - NORMAL DIVIDEND OPTION;10.9888;10.824;0;06-Aug-2009
109585;HDFC FMP 370D AUGUST 2008 (1) - RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.6642;10.5042;0;06-Aug-2009
109586;HDFC FMP 370D AUGUST 2008 (1) - WHOLESALE PLAN - GROWTH OPTION;11.0876;10.9213;0;06-Aug-2009
109584;HDFC FMP 370D AUGUST 2008 (1) - WHOLESALE PLAN - NORMAL DIVIDEND OPTION;11.0876;10.9213;0;06-Aug-2009
109711;HDFC FMP 370D AUGUST 2008 (2) - RETAIL PLAN - GROWTH OPTION;11.0707;10.9046;0;06-Aug-2009
109712;HDFC FMP 370D AUGUST 2008 (2) - RETAIL PLAN - NORMAL DIVIDEND OPTION;11.0707;10.9046;0;06-Aug-2009
109710;HDFC FMP 370D AUGUST 2008 (2) - WHOLESALE PLAN - GROWTH OPTION;11.0707;10.9046;0;06-Aug-2009
109882;HDFC FMP 370D AUGUST 2008 (3) - RETAIL PLAN - GROWTH OPTION;10.9485;10.7843;0;06-Aug-2009
109883;HDFC FMP 370D AUGUST 2008 (3) - RETAIL PLAN - NORMAL DIVIDEND OPTION;10.9485;10.7843;0;06-Aug-2009
109884;HDFC FMP 370D AUGUST 2008 (3) - RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.1651;10.0126;0;06-Aug-2009
109880;HDFC FMP 370D AUGUST 2008 (3) - WHOLESALE PLAN - GROWTH OPTION;11.0388;10.8732;0;06-Aug-2009
111490;HDFC FMP 370D December 2008 (1) - RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.1115;9.9598;0;06-Aug-2009
111489;HDFC FMP 370D December 2008 (1) - RETAIL PLAN DIVIDEND OPTION;10.555;10.3967;0;06-Aug-2009
111494;HDFC FMP 370D December 2008 (1) - RETAIL PLAN GROWTH OPTION;10.555;10.3967;0;06-Aug-2009
111492;HDFC FMP 370D December 2008 (1) - WHOLESALE PLAN DIVIDEND OPTION;10.5924;10.4335;0;06-Aug-2009
111491;HDFC FMP 370D December 2008 (1) - WHOLESALE PLAN GROWTH OPTION;10.5924;10.4335;0;06-Aug-2009
110708;HDFC FMP 370D November 2008 (1) - RETAIL PLAN - GROWTH OPTION;10.7307;10.5697;0;06-Aug-2009
110710;HDFC FMP 370D November 2008 (1) - RETAIL PLAN - NORMAL DIVIDEND OPTION;10.7307;10.5697;0;06-Aug-2009
110712;HDFC FMP 370D November 2008 (1) - RETAIL PLAN - QUARTERLY DIVIDEND OPTION;10.1027;9.9512;0;06-Aug-2009
110711;HDFC FMP 370D November 2008 (1) - WHOLESALE PLAN - GROWTH OPTION;10.8046;10.6425;0;06-Aug-2009
110709;HDFC FMP 370D November 2008 (1) - WHOLESALE PLAN - NORMAL DIVIDEND OPTION;10.8046;10.6425;0;06-Aug-2009
110707;HDFC FMP 370D November 2008 (1) - WHOLESALE PLAN - QUARTERLY DIVIDEND OPTION;10.1134;9.9617;0;06-Aug-2009
110535;HDFC FMP 370D October 2008 (1) - RETAIL PLAN - GROWTH OPTION;10.8614;10.6985;0;06-Aug-2009
110536;HDFC FMP 370D October 2008 (1) - RETAIL PLAN - NORMAL DIVIDEND OPTION;10.8614;10.6985;0;06-Aug-2009
