SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500480,CUMMINS (I) ,A ,Q,222.95,223.00,213.00,215.65,215.65,224.70,464,19654,4249880.00,
530843,CUPID LTD   ,TS,Q,5.10,5.44,5.01,5.39,5.06,5.19,15,2443,12862.00,
532640,CYBER MEDIA ,B ,Q,32.50,34.00,32.50,33.00,33.00,33.05,7,910,30145.00,
532271,CYBERMATE   ,B ,Q,1.66,1.75,1.66,1.71,1.68,1.67,44,40371,68376.00,
532364,CYBERSCAPE M,T ,Q,0.92,0.92,0.92,0.92,0.92,0.92,1,100,92.00,
532173,CYBERTECH   ,B ,Q,8.95,9.25,8.95,9.25,9.25,8.99,17,14727,135497.00,
517514,D&H WELDING ,S ,Q,14.99,14.99,13.85,13.86,13.86,13.68,12,1942,26938.00,
532783,DAAWAT      ,B ,Q,33.25,33.25,32.00,32.20,32.00,32.50,73,13340,430552.00,
500096,DABUR (I)   ,A ,Q,110.00,111.10,108.95,109.65,109.65,109.75,1025,2629500,289221869.00,
505426,DAGGER FROST,S ,Q,12.13,12.55,11.91,12.00,12.00,12.38,30,8070,99275.00,
526821,DAI-ICHI KAR,S ,Q,31.00,33.00,31.00,31.80,33.00,30.10,6,2950,93712.00,
530825,DAIKAFFIL CH,B ,Q,7.42,7.89,7.42,7.42,7.42,7.80,8,2063,15308.00,
500097,DALMIA CEMEN,B ,Q,95.75,98.50,94.30,96.00,96.00,93.70,57,3527,339156.00,
521220,DAMODAR THR.,S ,Q,22.00,23.00,22.00,23.00,23.00,22.00,3,100,2280.00,
532329,DANLAW TECH.,TS,Q,9.03,9.05,9.03,9.03,9.03,9.50,6,399,3603.00,
532528,DATAM GLOB  ,B ,Q,18.00,18.00,17.60,17.75,17.90,17.95,57,2704,48109.00,
531270,DAZZEL CONFI,B ,Q,2.99,2.99,2.73,2.76,2.73,3.10,14,3489,9765.00,
530393,DB INT.ST.BR,B ,Q,28.65,28.65,26.55,26.55,26.55,27.30,6,350,9922.00,
511611,DCM FINANCIA,B ,Q,2.86,3.00,2.86,3.00,3.00,3.00,4,1150,3296.00,
502820,DCM LTD.    ,B ,Q,21.50,21.50,18.20,18.40,18.25,19.05,199,47514,900357.00,
523367,DCM SHR.CON ,B ,Q,38.50,39.50,38.00,38.40,38.40,38.40,175,13402,518182.00,
523369,DCM SHR.IND ,S ,Q,78.95,79.90,73.05,73.05,73.05,73.15,14,168,12772.00,
500117,DCW LTD.    ,B ,Q,10.60,11.26,10.45,10.75,10.75,10.40,2165,1379475,15076782.00,
502137,DECAN CEMENT,S ,Q,156.00,157.20,153.05,153.15,153.05,156.75,14,157,24467.00,
505703,DECCAN BEAR.,B ,Q,19.30,19.30,19.30,19.30,19.30,20.30,2,10,193.00,
532608,DECCAN CHR  ,B ,Q,60.30,61.60,58.00,58.35,58.35,59.90,1581,247509,14836191.00,
531989,DECCAN POLYP,B ,Q,9.83,9.83,9.83,9.83,9.83,10.34,1,200,1966.00,
512068,DECCANGOLD  ,B ,Q,16.80,17.15,16.10,16.40,16.25,16.80,160,40209,671840.00,
532858,DECOLIGHT CE,B ,Q,7.70,8.48,7.70,8.38,8.38,8.39,7,1670,13655.00,
532760,DEEP INDS   ,B ,Q,70.40,70.40,64.10,65.15,65.15,69.10,533,65718,4417593.00,
500645,DEEPAK FERT.,B ,Q,70.90,73.80,69.50,70.80,70.80,70.25,623,87952,6261312.00,
506401,DEEPAK NITR.,S ,Q,138.80,140.90,137.00,138.10,138.10,136.55,114,7827,1089756.00,
514030,DEEPAK SPINN,S ,Q,9.20,9.20,9.20,9.20,9.20,8.85,1,100,920.00,
532848,DELTA CORP  ,B ,Q,39.85,39.85,38.00,38.50,38.25,38.95,202,31414,1214116.00,
504240,DELTON CABLE,B ,Q,40.00,43.55,40.00,41.15,41.15,41.55,4,107,4302.00,
532121,DENA BANK   ,B ,Q,39.35,39.75,38.05,38.30,38.30,39.00,1667,339147,13228183.00,
505232,DENISON HYD.,B ,Q,219.00,230.00,219.00,222.05,222.05,223.85,9,142,31703.00,
520022,DENSO INDIA ,S ,Q,40.80,45.00,40.80,45.00,45.00,43.80,13,800,35448.00,
532772,DEV CRBANK  ,B ,Q,25.00,25.40,24.10,24.40,24.40,24.80,3625,1449148,36057627.00,
